brand,seed,channel,planted,n,point_forest,ai_lo,ai_hi,ai_se,dr_ate,dr_se,ldml_ate,ldml_lo,ldml_hi,ldml_se,t_forest,t_ldml
Remibrutinib,1006,engagement_score,0.138,3354,0.1479511701092822,-0.013847106706127627,0.309749446924692,0.08255165748728538,0.15826983924170548,0.021437175151854414,0.15297550224116654,0.1187278880442601,0.187223116438073,0.017473593630825488,2.5,1.1
Remibrutinib,1006,peer_influence_score,0.093,3354,0.0899090178947701,-0.07412590732234775,0.25394394311188795,0.08369282559124445,0.11600134799679905,0.025460737106119388,0.09574732417547895,0.060535469888779475,0.13095917846217842,0.017965561900344127,2.6,1.2
Remibrutinib,1006,rep_training_score,0.0,3354,-0.01934755671410977,-0.1676313978936905,0.12893628446547092,0.07565641061753212,-0.012715362750140095,0.019880190854819672,-0.017285449340591893,-0.05024792949358704,0.015677030812403254,0.01681790094766995,2.7,1.2
Remibrutinib,1007,engagement_score,0.138,3354,0.18276557535946597,0.02310983065892644,0.3424213200600055,0.08145850877900793,0.18110024692053742,0.02133610187396714,0.1829039718082597,0.14906521608313725,0.21674272753338217,0.01726498853654365,2.7,1.2
Remibrutinib,1007,peer_influence_score,0.093,3354,0.08675285464906038,-0.0752000003084026,0.24870570960652333,0.08263052533488521,0.11241839977455606,0.027121628096911238,0.09140944488023259,0.0568761579596347,0.12594273180083046,0.017619347698729183,2.6,1.2
Remibrutinib,1007,rep_training_score,0.0,3354,-0.005402176327542852,-0.1567130048830568,0.14590865222797106,0.07720082029849218,-0.008253686508150527,0.01920600533568834,-0.0038643040304380547,-0.036720720637285674,0.028992112576409552,0.016763785899136328,2.9,1.4
Remibrutinib,1008,engagement_score,0.138,3354,0.16155658186981567,0.002046313763957891,0.32106684997567336,0.08138428466331918,0.1637257592443997,0.02115931615347932,0.15608611480438556,0.12175384681435698,0.19041838279441411,0.017516785135256115,2.9,1.2
Remibrutinib,1008,peer_influence_score,0.093,3354,0.09990909829962215,-0.07034827998188019,0.27016647658112447,0.08686760485473322,0.11243309954850958,0.02966650733363258,0.10093310951768111,0.06560604775563243,0.13626017127972978,0.01802434230460561,2.8,1.3
Remibrutinib,1008,rep_training_score,0.0,3354,-0.0022659341978130054,-0.16254321018096402,0.15801134178533796,0.08177562240079461,-0.0035502164662714734,0.01964216732832345,4.1605985690719014e-05,-0.03313142091944526,0.033214632890826684,0.016925324733923976,2.9,1.5
Remibrutinib,1009,engagement_score,0.138,3354,0.14886306477122974,-0.007584622134016672,0.30531075167647614,0.07982171453416818,0.15051704918308811,0.021571649400469736,0.14701165915234088,0.11258332507252222,0.18143999323215954,0.01756579934702115,2.8,1.2
